sample,MX1303_C5JC4ACXX_3_TAGGAT,MX1304_C5JC4ACXX_4_CCGGTG,MX1305_C5JC4ACXX_5_TGTTGG,MX1306_C5JC4ACXX_6_GTATAG,MX1307_C5JC4ACXX_7_AGCATC,MX1307_C5JC4ACXX_7_CAGGCC,MX1310_C5JC1ACXX_4_CTCTAC,MX1310_C5JC1ACXX_4_GGAACT,MX1310_C5JC1ACXX_4_GGACGG,MX1310_C5JC1ACXX_4_TGACAT,MX1355_C6RGTANXX_2_AAGCTA,MX1355_C6RGTANXX_2_ACATCG,MX1355_C6RGTANXX_2_CAAGTT,MX1355_C6RGTANXX_2_CATTCA,MX1355_C6RGTANXX_2_GGAACT,MX1356_C6RGTANXX_3_ATGGCA,MX1356_C6RGTANXX_3_CCTTGC,MX1356_C6RGTANXX_3_CGGCCT,MX1356_C6RGTANXX_3_GCGTGG,MX1356_C6RGTANXX_3_GCTGTA,MX1356_C6RGTANXX_3_GTATAG,MX1356_C6RGTANXX_3_TAGTTG,MX1356_C6RGTANXX_3_TGACAT,MX1357_C6RGTANXX_4_AATTAT,MX1357_C6RGTANXX_4_AGTCTT,MX1357_C6RGTANXX_4_CATGGG,MX1357_C6RGTANXX_4_GCCTAA,MX1357_C6RGTANXX_4_GTAGCC,MX1357_C6RGTANXX_4_TATCGT,MX1357_C6RGTANXX_4_TCTGAG
hsa-miR-6755-3p,0,0,0,0,0,0,0,0.024,0.025,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0.027,0
hsa-miR-6755-5p,0.697,1.159,0.891,1.72,1.69,1.02,0.447,2.439,1.501,0.947,0,0.668,0.747,1.476,0.986,0.292,1.122,0.129,0.953,0.42,1.289,0,0.732,0.588,0.604,0.703,0.606,0.574,0.48,0.895
hsa-miR-6756-3p,0.087,0,0.034,0.051,0.038,0.064,0.045,0.047,0.049,0.028,0,0.035,0,0.114,0,0,0,0,0,0.06,0,0,0.089,0,0.029,0.117,0.071,0,0,0.06
hsa-miR-6756-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6757-3p,0.087,0.129,0.034,0.051,0,0.064,0,0.095,0,0.278,0,0.07,0,0,0.269,0,0,0,0.272,0.03,0.035,0,0,0,0.086,0,0.107,0.115,0.08,0.03
hsa-miR-6757-5p,0.087,0,0.137,0.051,0.038,0.191,0.089,0.189,0.123,0.139,0,0.035,0,0,0.179,0.146,0.066,0.129,0.136,0.03,0.035,0,0.177,0,0.058,0,0.036,0.172,0.08,0.06
hsa-miR-6758-3p,0,0,0,0.051,0.038,0.128,0,0.047,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0.029,0,0,0,0,0
hsa-miR-6758-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
hsa-miR-6759-3p,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6759-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-676-3p,5.4,3.799,2.535,8.851,2.343,1.722,3.172,2.581,8.344,11.417,0.777,0.703,0,1.816,2.062,3.352,4.952,0.514,2.654,1.861,1.324,0,1.775,0.392,0.259,0.352,1.354,0.345,3.011,6.292
hsa-miR-676-5p,0.348,0.129,0.274,0.202,0.154,0.064,0.045,0.379,0.148,0.195,0,0.246,0,0.114,0.179,0,0.264,0.129,0.068,0,0.174,0,0.044,0,0,0,0.143,0.115,0.053,0.268
hsa-miR-6760-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6760-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6761-3p,0,0.064,0,0,0,0,0,0,0.025,0.056,0.388,0.035,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0
hsa-miR-6761-5p,1.219,0.579,0.377,0.759,0.307,0.383,0.223,0.568,0.96,0.808,0.388,0.527,1.12,0.227,0.179,0.292,0.792,0.257,0.613,0.15,0.383,0.295,0.244,0,0.173,0,0.143,0.287,0.293,0.328
hsa-miR-6762-3p,0,0,0.103,0,0.269,0.128,0.045,0.237,0.098,0.167,0.388,0.07,0.187,0,0,0,0.264,0,0,0,0.104,0.591,0.089,0,0.029,0,0.071,0.057,0.186,0.06
hsa-miR-6762-5p,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
hsa-miR-6763-3p,0,0,0,0,0.038,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6763-5p,0.174,0.258,0.069,0.152,0.077,0.064,0.045,0.118,0.074,0.362,0,0.105,0,0,0,0,0.198,0,0.408,0.03,0.035,0,0.089,0,0.058,0,0.107,0.057,0.027,0.089
hsa-miR-6764-3p,0.261,0.064,0.069,0,0.154,0.064,0.179,0.071,0.172,0,0,0.105,0,0,0,0,0,0,0,0.06,0.035,0,0.133,0,0.058,0,0.036,0.115,0.08,0.03
hsa-miR-6764-5p,0.523,0.322,0.069,0.101,0.23,0.128,0.045,0.284,0.197,0.084,0,0.105,0,0,0.09,0.146,0.132,0.514,0.068,0.09,0.07,0,0.067,0.196,0.086,0,0.178,0.172,0.053,0.149
